,type,episodes,status,aired,premiered,broadcast,studios,genres,duration,rating,score,popularity,members,favorites,watching,completed,on-hold,dropped,plan to watch,total,10,9,8,7,6,5,4,3,2,1
Detective Conan OVA 10: Kid in Trap Island - Statistics,OVA,1,Finished Airing,"Apr 14, 2010",,,TMS Entertainment,"['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']",24 min.,PG-13 - Teens 13 or older,7.77,4293,15431,14,254,12434,131,172,2440,15431,1150,1164,2222,1892,704,289,66,31,11,29
Digimon: The Movie,Movie,1,Finished Airing,"Mar 4, 2000",,,Toei Animation,"['Sci-Fi', 'Adventure', 'Comedy', 'Kids']",41 min.,PG - Children,7.77,2004,65638,253,569,59498,250,282,5039,65638,5296,7068,12089,10380,3927,1543,434,119,71,72
Genshiken 2 - Statistics,TV,12,Finished Airing,"Oct 10, 2007 to Dec 26, 2007",Fall 2007,Unknown,Arms,"['Comedy', 'Parody', 'Slice of Life']",24 min. per ep.,R - 17+ (violence & profanity),7.77,1856,74423,188,1927,52770,1779,1302,16645,74423,3193,7839,14349,10507,3536,1225,336,126,62,58
Golden Time - Statistics,TV,24,Finished Airing,"Oct 4, 2013 to Mar 28, 2014",Fall 2013,Fridays at 02:35 (JST),J.C.Staff,"['Comedy', 'Drama', 'Romance']",24 min. per ep.,PG-13 - Teens 13 or older,7.77,137,761845,9964,43330,486542,27888,33480,170605,761845,51850,77382,118384,90893,38189,17918,8356,3304,1713,1480
Gundam Build Fighters - Statistics,TV,25,Finished Airing,"Oct 7, 2013 to Mar 31, 2014",Fall 2013,Mondays at 18:00 (JST),Sunrise,"['Action', 'Sci-Fi', 'Mecha']",25 min. per ep.,G - All Ages,7.77,2081,62094,564,3580,40383,2140,2621,13370,62094,3180,5830,10305,7790,2895,1268,434,184,94,111
Humanity Has Declined,TV,12,Finished Airing,"Jul 2, 2012 to Sep 17, 2012",Summer 2012,Unknown,AIC ASTA,"['Adventure', 'Comedy', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,7.77,983,163521,1821,9790,62819,7856,7111,75945,163521,4837,11102,17515,12403,5120,2305,1003,344,178,166
Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On. - Statistics,Movie,1,Finished Airing,"Feb 19, 2005",,,A.C.G.T.,"['Adventure', 'Drama', 'Fantasy']",29 min.,R - 17+ (violence & profanity),7.77,2419,48427,41,970,29514,551,232,17160,48427,1996,4009,7352,5568,1919,663,169,64,27,39
Kyousougiga,TV,10,Finished Airing,"Oct 10, 2013 to Dec 19, 2013",Fall 2013,Thursdays at 01:30 (JST),Toei Animation,"['Action', 'Fantasy', 'Supernatural']",25 min. per ep.,PG-13 - Teens 13 or older,7.77,1048,154191,1738,9482,54204,6504,4320,79681,154191,4853,8988,13717,10564,4375,1871,742,218,130,122
Little Witch Academia: The Enchanted Parade,Movie,1,Finished Airing,"Oct 9, 2015",,,Trigger,"['Adventure', 'Comedy', 'Magic', 'Fantasy', 'School']",53 min.,PG - Children,7.77,1084,149042,308,2163,115196,862,484,30337,149042,6789,14939,30744,22488,7174,2256,513,189,78,76
Mobile Suit Gundam - Statistics,TV,43,Finished Airing,"Apr 7, 1979 to Jan 26, 1980",Spring 1979,Saturdays at 17:30 (JST),Sunrise,"['Action', 'Military', 'Sci-Fi', 'Space', 'Mecha']",25 min. per ep.,PG-13 - Teens 13 or older,7.77,1464,102623,1652,8339,55338,5742,3226,29978,102623,5578,7849,13582,12155,4396,1710,536,178,65,111
Mobile Suit Gundam III: Encounters in Space - Statistics,Movie,1,Finished Airing,"Mar 13, 1982",,,Sunrise,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Mecha']",2 hr. 20 min.,PG-13 - Teens 13 or older,7.77,3559,23157,101,372,17555,194,182,4854,23157,1362,2476,4349,3299,1162,394,133,95,23,35
The Cat Returns,Movie,1,Finished Airing,"Jul 20, 2002",,,Studio Ghibli,"['Adventure', 'Drama', 'Fantasy']",1 hr. 15 min.,G - All Ages,7.77,805,202441,1010,1946,168088,878,349,31180,202441,15666,22262,37253,33006,12883,4560,1221,376,142,132
Initial D Legend 1 Awakening,Movie,1,Finished Airing,"Aug 24, 2014",,,"SANZIGEN,       LIDENFILMS","['Action', 'Cars', 'Seinen', 'Sports']",1 hr. 2 min.,PG-13 - Teens 13 or older,7.77,3372,25888,56,477,18100,191,201,6919,25888,1610,1976,4003,3324,1116,428,104,35,24,54
Shiki - Statistics,TV,22,Finished Airing,"Jul 9, 2010 to Dec 31, 2010",Summer 2010,Fridays at 01:15 (JST),Daume,"['Mystery', 'Horror', 'Psychological', 'Supernatural', 'Thriller', 'Vampire']",22 min. per ep.,R - 17+ (violence & profanity),7.77,298,487920,6826,24256,265345,16587,16794,164938,487920,24897,44167,64307,48557,21008,9158,4378,1701,937,769
Tegami Bachi: Letter Bee Reverse,TV,25,Finished Airing,"Oct 3, 2010 to Mar 26, 2011",Fall 2010,Sundays at 00:10 (JST),Studio Pierrot,"['Adventure', 'Supernatural', 'Fantasy', 'Shounen']",20 min. per ep.,PG-13 - Teens 13 or older,7.77,2229,55643,194,2690,31908,2251,1650,17144,55643,2817,4299,7451,6114,2380,905,306,125,60,48
Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune - Statistics,Movie,1,Finished Airing,"Dec 6, 2014",,,Xebec,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama']",1 hr. 51 min.,PG-13 - Teens 13 or older,7.77,4833,11438,9,386,5749,175,132,4996,11438,389,856,1564,1076,343,126,76,18,5,27
Overlord II - Statistics,TV,13,Finished Airing,"Jan 9, 2018 to Apr 3, 2018",Winter 2018,Tuesdays at 22:30 (JST),Madhouse,"['Action', 'Game', 'Adventure', 'Supernatural', 'Magic', 'Fantasy']",23 min. per ep.,R - 17+ (violence & profanity),7.76,153,712824,3247,38433,567479,9256,9616,88040,712824,48003,76680,141933,109087,39325,14236,5926,2215,988,851
Ranma ½ - Statistics,TV,161,Finished Airing,"Apr 15, 1989 to Sep 25, 1992",Spring 1989,Unknown,Studio Deen,"['Slice of Life', 'Comedy', 'Martial Arts', 'Fantasy', 'Shounen']",24 min. per ep.,R+ - Mild Nudity,7.76,793,204865,3245,19735,102058,23552,18047,41473,204865,11720,16781,29185,26759,10911,4433,1150,410,210,218
Saint Seiya: Knights of the Zodiac,TV,114,Finished Airing,"Oct 11, 1986 to Apr 1, 1989",Fall 1986,Unknown,Toei Animation,"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,7.76,1065,152451,3285,9998,98428,8099,7912,28014,152451,13792,13396,22211,19866,8860,3923,1470,616,273,217
Knights of Sidonia: Battle for Planet Nine,TV,12,Finished Airing,"Apr 11, 2015 to Jun 27, 2015",Spring 2015,Saturdays at 01:55 (JST),Polygon Pictures,"['Action', 'Sci-Fi', 'Space', 'Mecha', 'Seinen']",24 min. per ep.,R - 17+ (violence & profanity),7.76,1431,105209,325,4814,72773,2780,2266,22576,105209,4930,11325,19320,13304,5023,2056,824,297,139,106
Tamayura: Sotsugyou Shashin Part 2 - Hibiki - Statistics,Movie,1,Finished Airing,"Aug 29, 2015",,,TYO Animations,"['Comedy', 'Drama', 'Slice of Life']",52 min.,G - All Ages,7.76,5538,8077,9,296,3394,148,124,4115,8077,293,467,857,603,202,88,18,15,5,11
Detective School Q,TV,45,Finished Airing,"Apr 15, 2003 to Mar 20, 2004",Spring 2003,Unknown,Studio Pierrot,"['Comedy', 'Drama', 'Mystery', 'Police', 'Shounen']",25 min. per ep.,PG-13 - Teens 13 or older,7.76,3139,29430,213,1386,15388,1599,1221,9836,29430,1337,2149,3865,3168,1226,508,116,45,31,26
Texhnolyze - Statistics,TV,22,Finished Airing,"Apr 17, 2003 to Sep 25, 2003",Spring 2003,Thursdays at 03:28 (JST),Madhouse,"['Action', 'Sci-Fi', 'Psychological', 'Drama']",23 min. per ep.,R+ - Mild Nudity,7.76,852,192331,3636,11920,49409,10154,8430,112418,192331,7158,8606,11320,8916,4612,2543,1504,722,423,687
The Last: Naruto the Movie - Statistics,Movie,1,Finished Airing,"Dec 6, 2014",,,Studio Pierrot,"['Action', 'Super Power', 'Romance', 'Martial Arts', 'Shounen']",1 hr. 52 min.,PG-13 - Teens 13 or older,7.76,368,405244,1378,5060,369917,954,740,28573,405244,42450,47092,73519,61518,25513,10640,4550,2144,1160,1097
Who's Left Behind?,Movie,1,Finished Airing,"Mar 9, 1991",,,Mushi Production,"['Historical', 'Drama']",1 hr. 30 min.,G - All Ages,7.76,5135,9777,21,235,3825,143,126,5448,9777,457,473,847,633,261,125,43,61,6,25
Charlotte - Statistics,TV,13,Finished Airing,"Jul 5, 2015 to Sep 27, 2015",Summer 2015,Sundays at 00:00 (JST),P.A. Works,"['Drama', 'School', 'Super Power']",24 min. per ep.,PG-13 - Teens 13 or older,7.76,60,1174477,17482,45512,901402,18629,24419,184515,1174477,100674,136194,200429,158070,68932,30545,14863,6868,2912,1980
Hakuoki ~Demon of the Fleeting Blossom~ Warrior Spirit of the Blue Sky,Movie,1,Finished Airing,"Mar 8, 2014",,,Studio Deen,"['Action', 'Historical', 'Supernatural', 'Drama', 'Samurai', 'Josei']",1 hr. 27 min.,PG-13 - Teens 13 or older,7.76,3918,18662,61,494,9195,285,202,8486,18662,1003,949,1621,1362,556,245,89,44,23,25
Sound! Euphonium: Our Promise: A Brand New Day,Movie,1,Finished Airing,"Apr 19, 2019",,,Kyoto Animation,"['Music', 'Drama', 'School']",1 hr. 41 min.,PG-13 - Teens 13 or older,7.76,2579,42689,103,897,18843,395,166,22388,42689,1462,2590,5471,3980,1235,438,138,46,23,44
Junjou Romantica OVA - Statistics,OVA,2,Finished Airing,"Dec 20, 2012 to Dec 1, 2015",,,Studio Deen,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']",22 min. per ep.,PG-13 - Teens 13 or older,7.76,2477,46199,126,6532,29953,1370,697,7647,46199,4189,3812,5285,4926,2365,1019,321,151,95,140
"Miss Kobayashi's Dragon Maid Episode 14: Valentine's, and Then Hot Springs! - Please Don't Get Your Hopes Up",Special,1,Finished Airing,"Sep 20, 2017",,,Kyoto Animation,"['Slice of Life', 'Comedy', 'Fantasy']",23 min.,PG-13 - Teens 13 or older,7.76,1163,138484,163,2362,114163,696,342,20921,138484,7319,12272,28421,23179,6438,1966,415,166,79,98
Kochira Katsushikaku Kameari Kouenmae Hashutsujo - Statistics,TV,373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",Summer 1996,Sundays at 19:00 (JST),Gallop,"['Slice of Life', 'Comedy', 'Police']",25 min. per ep.,PG-13 - Teens 13 or older,7.76,4585,13008,139,900,4976,1070,1140,4922,13008,721,815,1430,1282,582,189,47,23,13,20
Beyond the Boundary,TV,12,Finished Airing,"Oct 3, 2013 to Dec 19, 2013",Fall 2013,Thursdays at 00:30 (JST),Kyoto Animation,"['Slice of Life', 'Supernatural', 'Fantasy']",24 min. per ep.,PG-13 - Teens 13 or older,7.76,103,917148,10191,48828,565982,28253,26877,247208,917148,51534,81181,137339,107916,41742,18040,6979,2532,1145,897
Mobile Suit Gundam Wing: Endless Waltz - Statistics,OVA,3,Finished Airing,"Jan 25, 1997 to Jul 25, 1997",,,Sunrise,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",30 min. per ep.,PG-13 - Teens 13 or older,7.76,2591,42237,163,540,35310,294,264,5829,42237,3258,4584,7151,5937,2272,949,316,133,58,53
Arakawa Under the Bridge x Bridge - Statistics,TV,13,Finished Airing,"Oct 4, 2010 to Dec 27, 2010",Fall 2010,Mondays at 01:35 (JST),Shaft,"['Comedy', 'Romance', 'Seinen']",23 min. per ep.,PG-13 - Teens 13 or older,7.75,1137,141763,394,5677,95255,4952,3938,31941,141763,6614,13645,24929,19318,6792,2573,888,296,156,133
"Love, Chunibyo & Other Delusions!",TV,12,Finished Airing,"Oct 4, 2012 to Dec 20, 2012",Fall 2012,Thursdays at 00:30 (JST),Kyoto Animation,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.75,80,1043553,14323,41803,751951,23728,25681,200390,1043553,61948,106870,191103,153323,56372,22146,7695,2839,1366,1285
My Roommate is a Cat,TV,12,Finished Airing,"Jan 9, 2019 to Mar 27, 2019",Winter 2019,Wednesdays at 23:30 (JST),Zero-G,"['Slice of Life', 'Comedy']",23 min. per ep.,PG-13 - Teens 13 or older,7.75,1141,141254,899,11965,78486,4690,5672,40441,141254,6310,10410,21680,18173,6377,2430,625,195,96,101
Fire Force Season 2,TV,24,Finished Airing,"Jul 4, 2020 to Dec 12, 2020",Summer 2020,Saturdays at 01:55 (JST),David Production,"['Action', 'Supernatural', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,7.75,340,437621,1557,89691,220787,19405,12773,94965,437621,17333,34814,72596,53648,17414,6412,2464,837,370,391
Final Fantasy VII: Advent Children - Statistics,Movie,1,Finished Airing,"Sep 14, 2005",,,Square Enix,"['Action', 'Super Power', 'Fantasy']",1 hr. 41 min.,PG-13 - Teens 13 or older,7.75,829,195088,1029,1388,182222,471,475,10532,195088,21639,24290,33699,30003,13910,6354,2611,984,531,337
Free! -Take Your Marks-,Movie,1,Finished Airing,"Oct 28, 2017",,,Kyoto Animation,"['School', 'Slice of Life', 'Sports']",1 hr. 48 min.,PG-13 - Teens 13 or older,7.75,2252,54964,92,1175,28918,626,399,23846,54964,2566,2891,5451,5208,1801,704,150,66,26,66
GATE,TV,12,Finished Airing,"Jul 4, 2015 to Sep 19, 2015",Summer 2015,Saturdays at 00:30 (JST),A-1 Pictures,"['Action', 'Adventure', 'Fantasy', 'Military']",23 min. per ep.,R - 17+ (violence & profanity),7.72,189,634335,5084,28999,465256,11998,17818,110264,634335,34405,66432,118024,86028,31746,13840,6237,2730,1487,1076
Gekkan Shoujo Nozaki-kun Specials - Statistics,Special,6,Finished Airing,"Sep 24, 2014 to Feb 25, 2015",,,Doga Kobo,"['Comedy', 'Romance', 'School']",3 min. per ep.,PG-13 - Teens 13 or older,7.75,1353,114073,95,3618,90305,1837,876,17437,114073,6122,10246,20223,16728,5836,1992,433,136,61,58
Sound! Euphonium the Movie: May the Melody Reach You!,Movie,1,Finished Airing,"Sep 30, 2017",,,Kyoto Animation,"['Drama', 'Music', 'School']",1 hr. 55 min.,PG-13 - Teens 13 or older,7.75,3714,21319,23,511,6708,308,231,13561,21319,619,659,1562,1294,320,131,35,17,5,38
InuYasha: Kuroi Tessaiga - Statistics,Special,1,Finished Airing,"Jul 30, 2008",,,Sunrise,"['Adventure', 'Comedy', 'Demons', 'Supernatural', 'Magic', 'Romance', 'Fantasy', 'Shounen']",29 min.,PG-13 - Teens 13 or older,7.75,3033,31756,99,725,21765,399,304,8563,31756,2245,1774,2845,3256,1257,482,106,63,19,51
Ghost in the Shell: Stand Alone Complex - Solid State Society 3D,Movie,1,Finished Airing,"Mar 26, 2011",,,Production I.G,"['Military', 'Sci-Fi', 'Mystery', 'Police', 'Mecha', 'Seinen']",1 hr. 48 min.,R - 17+ (violence & profanity),7.75,4485,13684,17,373,6237,212,217,6645,13684,453,707,1196,919,298,121,36,62,14,38
Lucky☆Star - Statistics,TV,24,Finished Airing,"Apr 8, 2007 to Sep 17, 2007",Spring 2007,Mondays at 00:00 (JST),Kyoto Animation,"['Slice of Life', 'Comedy', 'Parody', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.75,240,553640,10327,33088,312721,33924,39599,134308,553640,37823,50820,72382,61219,28182,15164,6868,3392,2321,3016
The Seven Deadly Sins: Revival of the Commandments,TV,24,Finished Airing,"Jan 13, 2018 to Jun 30, 2018",Winter 2018,Saturdays at 06:30 (JST),A-1 Pictures,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,7.75,112,839305,3673,61250,668455,10995,13045,85560,839305,60455,98643,157941,116190,46017,19988,9363,4095,2161,1978
Noragami OVA - Statistics,OVA,2,Finished Airing,"Feb 17, 2014 to Jul 17, 2014",,,Bones,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,7.75,590,268981,336,12491,220887,3836,1127,30640,268981,18190,24780,47258,42474,14688,5056,1212,430,189,190
Pokémon: Origins,Special,4,Finished Airing,"Oct 2, 2013",,,"Production I.G,       Xebec,       OLM","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",21 min. per ep.,PG - Children,7.75,861,190208,555,2967,172736,1534,1052,11919,190208,14334,23760,40793,31372,12089,4931,1652,565,217,180
Ranma ½ OVA - Statistics,OVA,6,Finished Airing,"Oct 21, 1993 to Aug 19, 1994",,,"Studio Deen,       Kitty Films","['Comedy', 'Martial Arts', 'Romance', 'Shounen']",30 min. per ep.,PG-13 - Teens 13 or older,7.75,3280,27303,55,606,21229,463,302,4703,27303,1739,2484,4108,3739,1393,499,104,33,19,30
Saint Seiya: The Hades Chapter - Inferno,OVA,12,Finished Airing,"Dec 17, 2005 to Feb 6, 2007",,,Toei Animation,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Sci-Fi', 'Shounen', 'Super Power']",25 min. per ep.,PG-13 - Teens 13 or older,7.75,2611,41558,131,740,34635,548,381,5254,41558,3938,4409,7482,5991,2518,1097,407,146,63,66
Food Wars! The Fourth Plate,TV,12,Finished Airing,"Oct 12, 2019 to Dec 28, 2019",Fall 2019,Saturdays at 00:30 (JST),J.C.Staff,"['Ecchi', 'School', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,7.75,351,415626,1090,26979,306615,6333,5249,70450,415626,24031,39425,75709,61248,21311,7341,2589,897,338,318
Slayers - Statistics,TV,26,Finished Airing,"Apr 7, 1995 to Sep 29, 1995",Spring 1995,Fridays at 18:30 (JST),E&G Films,"['Adventure', 'Comedy', 'Demons', 'Magic', 'Fantasy']",22 min. per ep.,PG-13 - Teens 13 or older,7.75,1293,120640,1760,5620,70036,5684,4510,34790,120640,6094,9587,16492,14585,5395,2260,634,225,89,111
Snow Halation - Statistics,Music,1,Finished Airing,"Dec 22, 2010",,,Sunrise,['Music'],6 min.,PG-13 - Teens 13 or older,7.75,3921,18645,92,247,16247,77,136,1938,18645,2632,1393,2311,2315,1135,701,207,106,46,95
Poco's Udon World,TV,12,Finished Airing,"Oct 9, 2016 to Dec 25, 2016",Fall 2016,Sundays at 01:55 (JST),LIDENFILMS,"['Slice of Life', 'Fantasy', 'Seinen']",22 min. per ep.,PG-13 - Teens 13 or older,7.75,1445,104214,491,7052,52367,3523,4397,36875,104214,4438,6935,13627,11378,4185,1643,441,135,62,73
The Law of Ueki,TV,51,Finished Airing,"Apr 4, 2005 to Mar 27, 2006",Spring 2005,Mondays at 18:30 (JST),Studio Deen,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Supernatural', 'Drama', 'Shounen']",23 min. per ep.,PG-13 - Teens 13 or older,7.75,1480,100960,752,5488,52530,4925,5027,32990,100960,4502,7669,13036,10881,4169,2004,665,287,121,115
The Seven Metamorphoses of Yamato Nadeshiko,TV,25,Finished Airing,"Oct 4, 2006 to Mar 28, 2007",Fall 2006,Wednesdays at 01:30 (JST),Nippon Animation,"['Comedy', 'Shoujo']",24 min. per ep.,PG-13 - Teens 13 or older,7.75,1157,138990,2038,6428,90832,5481,6833,29416,138990,10588,13540,18789,16367,7594,3792,1699,635,393,306
New Game!! - Statistics,TV,12,Finished Airing,"Jul 11, 2017 to Sep 26, 2017",Summer 2017,Tuesdays at 21:30 (JST),Doga Kobo,"['Game', 'Slice of Life', 'Comedy']",24 min. per ep.,PG-13 - Teens 13 or older,7.74,766,210589,786,13036,135173,6062,4688,51630,210589,8422,18098,37417,28848,9628,3383,915,280,133,147
Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni＿＿ - Statistics,Movie,1,Finished Airing,"Mar 8, 2019",,,Production I.G,"['Action', 'Sci-Fi', 'Police', 'Psychological']",1 hr. 7 min.,R - 17+ (violence & profanity),7.74,2041,63791,66,1504,33172,679,240,28196,63791,1929,3779,8999,6417,1936,638,168,63,22,33
Samurai X DVD-BOX Special Ending,Special,1,Finished Airing,2007,,,"None found, add some","['Historical', 'Romance']",2 min.,G - All Ages,7.74,4233,16005,51,391,10111,223,183,5097,16005,1232,1017,1565,1531,688,315,73,42,19,27
School Rumble: Ichi Gakki Hoshuu - Statistics,OVA,2,Finished Airing,"Dec 22, 2005",,,Studio Comet,"['Comedy', 'Romance', 'School', 'Shounen']",25 min. per ep.,PG-13 - Teens 13 or older,7.74,2290,53597,95,720,42913,527,324,9113,53597,3584,5240,9216,8328,2992,1085,277,70,41,49
Sekai Ichi Hatsukoi - World's Greatest First Love,TV,12,Finished Airing,"Apr 9, 2011 to Jun 25, 2011",Spring 2011,Unknown,Studio Deen,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']",23 min. per ep.,PG-13 - Teens 13 or older,7.74,890,183488,2838,6472,143180,3105,4674,26057,183488,17911,18621,24297,21381,10290,5185,2233,978,669,601
Birdy the Mighty: Decode 02,TV,12,Finished Airing,"Jan 10, 2009 to Mar 28, 2009",Winter 2009,Saturdays at 02:10 (JST),A-1 Pictures,"['Action', 'Sci-Fi', 'Comedy']",23 min. per ep.,R - 17+ (violence & profanity),7.74,2483,45825,229,1648,28501,1189,680,13807,45825,1765,4028,7357,5713,2048,672,163,70,33,30
Rakshasa Street,ONA,24,Finished Airing,"Apr 28, 2016 to Oct 20, 2016",,,L²Studio,"['Action', 'Supernatural']",14 min. per ep.,PG-13 - Teens 13 or older,7.74,3713,22103,101,2141,5988,719,755,12500,22103,570,882,1487,1192,466,223,88,43,29,35
Berserk: The Golden Age Arc I - The Egg of the King,Movie,1,Finished Airing,"Feb 4, 2012",,,Studio 4°C,"['Action', 'Military', 'Adventure', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']",1 hr. 16 min.,R+ - Mild Nudity,7.74,929,174594,724,2232,148809,740,745,22068,174594,13205,19910,35648,28233,10391,3882,1606,584,267,273
Black Jack - Statistics,OVA,12,Finished Airing,"Dec 21, 1993 to Dec 16, 2011",,,Tezuka Productions,"['Drama', 'Mystery', 'Psychological', 'Thriller']",50 min. per ep.,PG-13 - Teens 13 or older,7.74,3037,31713,255,2641,11381,1631,1202,14858,31713,1128,1742,2811,2355,1016,428,116,62,24,31
Broken Blade 2,Movie,1,Finished Airing,"Jun 26, 2010",,,"Production I.G,       Xebec","['Action', 'Fantasy', 'Mecha', 'Military', 'Shounen']",51 min.,R - 17+ (violence & profanity),7.74,2176,58100,27,559,49805,326,202,7208,58100,2827,6148,13073,9549,2899,1121,302,93,47,41
Chi's New Address,TV,104,Finished Airing,"Mar 30, 2009 to Sep 24, 2009",Spring 2009,Not scheduled once per week,Madhouse,"['Comedy', 'Kids', 'Slice of Life']",3 min. per ep.,G - All Ages,7.74,3397,25524,96,,,,,,,,,,,,,,,,
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu - Statistics,Movie,1,Finished Airing,"Apr 21, 2001",,,Shin-Ei Animation,"['Comedy', 'Sci-Fi', 'Seinen']",1 hr. 29 min.,G - All Ages,7.74,6001,6678,56,151,5131,55,169,1172,6678,580,646,953,816,364,139,49,25,12,27
D.Gray-man Hallow - Statistics,TV,13,Finished Airing,"Jul 5, 2016 to Sep 27, 2016",Summer 2016,Tuesdays at 01:35 (JST),TMS Entertainment,"['Action', 'Adventure', 'Super Power', 'Demons', 'Shounen']",24 min. per ep.,R - 17+ (violence & profanity),7.74,990,162370,930,11594,90111,5044,5156,50465,162370,8935,11587,19958,16539,6811,2762,1230,453,217,220
Is the Order a Rabbit?? OVA,OVA,1,Finished Airing,"Sep 26, 2019",,,production doA,"['Comedy', 'Slice of Life']",25 min.,PG-13 - Teens 13 or older,7.74,4077,17377,62,466,9753,175,109,6874,17377,941,976,2282,2015,648,223,52,22,9,17
