,type,episodes,status,aired,premiered,broadcast,studios,genres,duration,rating,score,popularity,members,favorites,watching,completed,on-hold,dropped,plan to watch,total,10,9,8,7,6,5,4,3,2,1
Wolf Children,Movie,1,Finished Airing,"Jul 21, 2012",,,Studio Chizu,"['Fantasy', 'Slice of Life']",1 hr. 57 min.,PG - Children,8.62,177,653705,9652,11962,474408,3579,1352,162404,653705,103288,117830,93527,40180,11557,4047,1592,714,323,792
Ping Pong the Animation - Statistics,TV,11,Finished Airing,"Apr 11, 2014 to Jun 20, 2014",Spring 2014,Fridays at 00:50 (JST),Tatsunoko Production,"['Drama', 'Psychological', 'Seinen', 'Sports']",23 min. per ep.,PG-13 - Teens 13 or older,8.62,541,290169,11797,12346,156276,7684,6064,107799,290169,37059,44513,32860,13895,4425,1946,898,449,315,1059
The Promised Neverland,TV,12,Finished Airing,"Jan 10, 2019 to Mar 29, 2019",Winter 2019,Fridays at 00:55 (JST),CloverWorks,"['Sci-Fi', 'Mystery', 'Horror', 'Psychological', 'Thriller', 'Shounen']",22 min. per ep.,R - 17+ (violence & profanity),8.61,46,1339266,29133,83405,1040207,20621,16312,178721,1339266,194203,304762,249548,85382,20931,6972,2776,1013,514,1289
Kizumonogatari Part 2: Nekketsu,Movie,1,Finished Airing,"Aug 19, 2016",,,Shaft,"['Action', 'Mystery', 'Supernatural', 'Vampire']",1 hr. 4 min.,R - 17+ (violence & profanity),8.61,462,333561,1840,6515,250011,1920,819,74296,333561,45620,69456,54987,19033,4775,1785,688,321,156,631
The Tatami Galaxy,TV,11,Finished Airing,"Apr 23, 2010 to Jul 2, 2010",Spring 2010,Fridays at 00:45 (JST),Madhouse,"['Mystery', 'Comedy', 'Psychological', 'Romance']",23 min. per ep.,R - 17+ (violence & profanity),8.6,461,334585,14339,20764,122467,12538,7597,171219,334585,32190,33223,25075,11449,4343,2028,1077,497,332,728
Natsume's Book of Friends Season 3,TV,13,Finished Airing,"Jul 5, 2011 to Sep 27, 2011",Summer 2011,Tuesdays at 01:30 (JST),Brain's Base,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",24 min. per ep.,PG-13 - Teens 13 or older,8.59,772,209588,1198,7891,130240,3904,2065,65488,209588,24614,30744,27598,11785,3047,952,227,100,66,245
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2 - Statistics,TV,12,Finished Airing,"Jan 6, 2021 to Mar 24, 2021",Winter 2021,Wednesdays at 22:30 (JST),White Fox,"['Drama', 'Fantasy', 'Psychological', 'Thriller']",28 min. per ep.,R - 17+ (violence & profanity),8.59,280,504178,8423,100659,264800,8932,4448,125339,504178,65593,83566,64766,26510,8621,3374,1663,759,406,933
Showa Genroku Rakugo Shinju,TV,13,Finished Airing,"Jan 9, 2016 to Apr 2, 2016",Winter 2016,Saturdays at 02:25 (JST),Studio Deen,"['Drama', 'Historical', 'Josei']",26 min. per ep.,PG-13 - Teens 13 or older,8.59,680,237100,5011,17138,87861,10646,7166,114289,237100,18760,26987,20510,8173,2741,1245,470,170,107,483
Fate/Zero Season 2,TV,12,Finished Airing,"Apr 8, 2012 to Jun 24, 2012",Spring 2012,Sundays at 00:00 (JST),ufotable,"['Action', 'Supernatural', 'Magic', 'Fantasy']",24 min. per ep.,R - 17+ (violence & profanity),8.59,110,870156,17024,23261,698265,8876,5019,134735,870156,133507,183726,147565,61305,16757,5705,2153,786,456,1044
Hajime No Ippo: The Fighting!,TV,25,Finished Airing,"Oct 6, 2013 to Mar 29, 2014",Fall 2013,Sundays at 01:35 (JST),"Madhouse,       MAPPA","['Comedy', 'Sports', 'Drama', 'Shounen']",22 min. per ep.,PG-13 - Teens 13 or older,8.59,873,187373,907,8343,137390,3056,1598,36986,187373,24423,34685,30791,11519,2569,810,234,97,49,415
